urgent_surgeries;location;region;conventional_surgeries;health_centre;period;scheduled_surgeries;ambulatory_surgeries
2364;[38.7500861, -9.1616116];Região de Saúde LVT;4439;Centro Hospitalar Universitário de Lisboa Norte, EPE;2014-05;9804;5365
672;[39.2410946, -8.6937515];Região de Saúde LVT;1313;Hospital Distrital de Santarém, EPE;2014-05;2686;1373
1021;[38.6658713, -9.1822554];Região de Saúde LVT;1891;Hospital Garcia de Orta, EPE;2014-05;4995;3104
2092;[41.1831056, -8.6010558];Região de Saúde Norte;7669;Centro Hospitalar Universitário de São João, EPE;2014-05;17101;9432
873;[41.4387173, -8.3086907];Região de Saúde Norte;2355;Centro Hospitalar do Alto Ave, EPE;2014-05;5069;2714
929;[41.3031784, -7.7515252];Região de Saúde Norte;1642;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;2014-05;5135;3493
445;[38.6554005, -9.0592392];Região de Saúde LVT;1436;Centro Hospitalar Barreiro/Montijo, EPE;2014-06;2927;1491
4013;[38.7166948, -9.1371248];Região de Saúde LVT;8044;Centro Hospitalar Universitário Lisboa Central, EPE;2014-06;17794;9750
867;[38.5283754, -8.8818638];Região de Saúde LVT;1655;Centro Hospitalar de Setúbal, EPE;2014-06;4230;2575
1163;[38.729006, -9.418267];Região de Saúde LVT;937;Hospital de Cascais, PPP;2014-06;3319;2382
1024;[38.821455, -9.176296];Região de Saúde LVT;1927;Hospital de Loures, PPP;2014-06;5552;3625
121;[38.7396768, -9.1634516];Região de Saúde LVT;2410;Instituto Português Oncologia de Lisboa, EPE;2014-06;3698;1288
580;[41.3828711, -8.7589945];Região de Saúde Norte;1644;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;2014-06;3204;1560
714;[38.014123, -7.8721227];Região de Saúde do Alentejo;796;Unidade Local de Saúde do Baixo Alentejo, EPE;2014-07;1798;1002
4248;[40.2191523, -8.4098211];Região de Saúde do Centro;9888;Centro Hospitalar e Universitário de Coimbra, EPE;2014-07;21055;11167
2403;[38.708454, -9.216985];Região de Saúde LVT;4479;Centro Hospitalar de Lisboa Ocidental, EPE;2014-07;8829;4350
3385;[38.7500861, -9.1616116];Região de Saúde LVT;6226;Centro Hospitalar Universitário de Lisboa Norte, EPE;2014-07;13903;7677
1353;[38.729006, -9.418267];Região de Saúde LVT;1095;Hospital de Cascais, PPP;2014-07;3880;2785
2945;[41.1831056, -8.6010558];Região de Saúde Norte;10420;Centro Hospitalar Universitário de São João, EPE;2014-07;23438;13018
1187;[41.4387173, -8.3086907];Região de Saúde Norte;3256;Centro Hospitalar do Alto Ave, EPE;2014-07;6941;3685
3038;[41.1472498, -8.6172617];Região de Saúde Norte;7170;Centro Hospitalar Universitário do Porto, EPE;2014-07;17866;10696
1330;[41.3031784, -7.7515252];Região de Saúde Norte;2180;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;2014-07;6836;4656
808;[38.014123, -7.8721227];Região de Saúde do Alentejo;896;Unidade Local de Saúde do Baixo Alentejo, EPE;2014-08;1962;1066
590;[40.2804158, -7.4922407];Região de Saúde do Centro;1854;Centro Hospitalar Universitário Cova da Beira, EPE;2014-08;3693;1839
5337;[38.7166948, -9.1371248];Região de Saúde LVT;10395;Centro Hospitalar Universitário Lisboa Central, EPE;2014-08;22724;12329
3891;[38.7500861, -9.1616116];Região de Saúde LVT;6876;Centro Hospitalar Universitário de Lisboa Norte, EPE;2014-08;15282;8406
1482;[38.821455, -9.176296];Região de Saúde LVT;2567;Hospital de Loures, PPP;2014-08;7388;4821
1084;[39.2410946, -8.6937515];Região de Saúde LVT;1813;Hospital Distrital de Santarém, EPE;2014-08;3979;2166
3430;[41.1831056, -8.6010558];Região de Saúde Norte;11386;Centro Hospitalar Universitário de São João, EPE;2014-08;25326;13940
1053;[41.3423984, -8.4802503];Região de Saúde Norte;2243;Centro Hospitalar do Médio Ave, EPE;2014-08;6453;4210
788;[41.3828711, -8.7589945];Região de Saúde Norte;2063;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;2014-08;3983;1920
1757;[41.1094138, -8.5972617];Região de Saúde Norte;5204;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;2014-08;12810;7606
1849;[41.56785, -8.398982];Região de Saúde Norte;6290;Hospital de Braga, PPP;2014-08;16586;10296
319;[41.1785642, -8.6062881];Região de Saúde Norte;3672;Instituto Português Oncologia do Porto, EPE;2014-08;7808;4136
1184;[38.5684861, -7.9032848];Região de Saúde do Alentejo;3705;Hospital Espírito Santo de Évora, EPE;2014-09;10330;6625
2966;[37.0238973, -7.9281554];Região de Saúde do Algarve;3791;Centro Hospitalar Universitário do Algarve,EPE;2014-09;7684;3893
856;[39.8212263, -7.4981271];Região de Saúde do Centro;1706;Unidade Local de Saúde de Castelo Branco, EPE;2014-09;3850;2144
1253;[38.5283754, -8.8818638];Região de Saúde LVT;2294;Centro Hospitalar de Setúbal, EPE;2014-09;5983;3689
1663;[39.4054629, -9.1258493];Região de Saúde LVT;1879;Centro Hospitalar do Oeste, EPE;2014-09;4301;2422
1649;[38.821455, -9.176296];Região de Saúde LVT;2886;Hospital de Loures, PPP;2014-09;8332;5446
1138;[38.977235, -8.984506];Região de Saúde LVT;2068;Hospital de Vila Franca de Xira, PPP;2014-09;6092;4024
1208;[41.3423984, -8.4802503];Região de Saúde Norte;2496;Centro Hospitalar do Médio Ave, EPE;2014-09;7258;4762
2220;[41.2494561, -8.264901];Região de Saúde Norte;5422;Centro Hospitalar Tâmega e Sousa, EPE;2014-09;13404;7982
1357;[41.1794456, -8.6745115];Região de Saúde Norte;3601;Unidade Local de Saúde de Matosinhos, EPE;2014-09;8943;5342
3259;[37.0238973, -7.9281554];Região de Saúde do Algarve;4286;Centro Hospitalar Universitário do Algarve,EPE;2014-10;8654;4368
718;[40.2804158, -7.4922407];Região de Saúde do Centro;2281;Centro Hospitalar Universitário Cova da Beira, EPE;2014-10;4642;2361
918;[40.5309916, -7.2734793];Região de Saúde do Centro;2470;Unidade Local de Saúde da Guarda, EPE;2014-10;6648;4178
1344;[39.2410946, -8.6937515];Região de Saúde LVT;2109;Hospital Distrital de Santarém, EPE;2014-10;4881;2772
217;[38.7396768, -9.1634516];Região de Saúde LVT;3953;Instituto Português Oncologia de Lisboa, EPE;2014-10;5980;2027
4317;[41.1472498, -8.6172617];Região de Saúde Norte;9807;Centro Hospitalar Universitário do Porto, EPE;2014-10;24287;14480
126;[41.5324234, -8.6171561];Região de Saúde Norte;783;Hospital Santa Maria Maior, EPE;2014-10;2440;1657
2126;[38.729006, -9.418267];Região de Saúde LVT;1713;Hospital de Cascais, PPP;2014-11;6223;4510
1063;[38.977235, -8.984506];Região de Saúde LVT;2607;Hospital de Vila Franca de Xira, PPP;2014-11;7694;5087
4887;[41.1831056, -8.6010558];Região de Saúde Norte;15573;Centro Hospitalar Universitário de São João, EPE;2014-11;35143;19570
1446;[41.3423984, -8.4802503];Região de Saúde Norte;3119;Centro Hospitalar do Médio Ave, EPE;2014-11;9080;5961
2140;[41.3031784, -7.7515252];Região de Saúde Norte;3258;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;2014-11;10207;6949
2491;[41.56785, -8.398982];Região de Saúde Norte;8729;Hospital de Braga, PPP;2014-11;22879;14150
2003;[41.7056054, -8.8252713];Região de Saúde Norte;3748;Unidade Local de Saúde do Alto Minho, EPE;2014-11;9266;5518
1599;[38.5684861, -7.9032848];Região de Saúde do Alentejo;4922;Hospital Espírito Santo de Évora, EPE;2014-12;13491;8569
1181;[38.014123, -7.8721227];Região de Saúde do Alentejo;1476;Unidade Local de Saúde do Baixo Alentejo, EPE;2014-12;3458;1982
3988;[37.0238973, -7.9281554];Região de Saúde do Algarve;5063;Centro Hospitalar Universitário do Algarve,EPE;2014-12;10156;5093
2722;[39.7414812, -8.7982706];Região de Saúde do Centro;4958;Centro Hospitalar de Leiria, EPE;2014-12;11970;7012
2023;[40.6362453, -8.6543716];Região de Saúde do Centro;3331;Centro Hospitalar do Baixo Vouga, EPE;2014-12;8676;5345
7324;[40.2191523, -8.4098211];Região de Saúde do Centro;16247;Centro Hospitalar e Universitário de Coimbra, EPE;2014-12;34209;17962
1589;[39.478072, -8.5404429];Região de Saúde LVT;3245;Centro Hospitalar Médio Tejo, EPE;2014-12;7361;4116
267;[38.7396768, -9.1634516];Região de Saúde LVT;4630;Instituto Português Oncologia de Lisboa, EPE;2014-12;7062;2432
2047;[41.4387173, -8.3086907];Região de Saúde Norte;5432;Centro Hospitalar do Alto Ave, EPE;2014-12;12103;6671
2693;[41.1094138, -8.5972617];Região de Saúde Norte;7806;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;2014-12;19537;11731
156;[40.6362453, -8.6543716];Região de Saúde do Centro;280;Centro Hospitalar do Baixo Vouga, EPE;2015-01;770;490
197;[38.729006, -9.418267];Região de Saúde LVT;98;Hospital de Cascais, PPP;2015-01;540;442
393;[38.7422257, -9.2264834];Região de Saúde LVT;312;Hospital Professor Doutor Fernando Fonseca, EPE;2015-01;532;220
217;[41.2494561, -8.264901];Região de Saúde Norte;639;Centro Hospitalar Tâmega e Sousa, EPE;2015-01;1568;929
717;[38.708454, -9.216985];Região de Saúde LVT;1215;Centro Hospitalar de Lisboa Ocidental, EPE;2015-02;2539;1324
391;[38.729006, -9.418267];Região de Saúde LVT;241;Hospital de Cascais, PPP;2015-02;1058;817
342;[38.821455, -9.176296];Região de Saúde LVT;654;Hospital de Loures, PPP;2015-02;2002;1348
197;[38.977235, -8.984506];Região de Saúde LVT;457;Hospital de Vila Franca de Xira, PPP;2015-02;1538;1081
900;[41.1831056, -8.6010558];Região de Saúde Norte;2895;Centro Hospitalar Universitário de São João, EPE;2015-02;6550;3655
1220;[38.7500861, -9.1616116];Região de Saúde LVT;4538;Centro Hospitalar Universitário de Lisboa Norte, EPE;2015-03;8442;3904
580;[38.729006, -9.418267];Região de Saúde LVT;398;Hospital de Cascais, PPP;2015-03;1640;1242
429;[39.2410946, -8.6937515];Região de Saúde LVT;400;Hospital Distrital de Santarém, EPE;2015-03;1234;834
378;[41.3423984, -8.4802503];Região de Saúde Norte;724;Centro Hospitalar do Médio Ave, EPE;2015-03;1813;1089
304;[41.3828711, -8.7589945];Região de Saúde Norte;702;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;2015-03;1093;391
561;[41.3031784, -7.7515252];Região de Saúde Norte;916;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;2015-03;2827;1911
639;[41.1094138, -8.5972617];Região de Saúde Norte;1901;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;2015-03;5423;3522
465;[41.8056532, -6.7888197];Região de Saúde Norte;504;Unidade Local de Saúde do Nordeste, EPE;2015-03;1372;868
1247;[37.0238973, -7.9281554];Região de Saúde do Algarve;1652;Centro Hospitalar Universitário do Algarve,EPE;2015-04;3361;1709
